timestamp,temperature,humidity,wind_speed
2026-01-11T04:00:00+00:00,-3.4,40.0,5.5
2026-01-11T05:00:00+00:00,-3.3,45.9,6.0
2026-01-11T06:00:00+00:00,-3.0,48.3,6.2
2026-01-11T07:00:00+00:00,-2.8,53.2,6.5
2026-01-11T08:00:00+00:00,-2.3,57.1,6.7
2026-01-11T09:00:00+00:00,-1.9,58.9,7.1
2026-01-11T10:00:00+00:00,-1.1,57.4,7.3
2026-01-11T11:00:00+00:00,-0.2,55.8,6.8
2026-01-11T12:00:00+00:00,0.3,56.1,7.3
2026-01-11T18:00:00+00:00,1.5,61.0,4.9
2026-01-12T00:00:00+00:00,1.1,59.3,4.9
2026-01-12T06:00:00+00:00,1.3,56.7,4.9
2026-01-12T12:00:00+00:00,2.7,55.3,6.3
2026-01-12T18:00:00+00:00,2.1,61.7,4.8
2026-01-13T00:00:00+00:00,1.5,66.7,4.6
2026-01-13T06:00:00+00:00,1.4,70.2,3.9
2026-01-13T12:00:00+00:00,2.2,69.8,3.2
2026-01-13T18:00:00+00:00,1.9,73.1,3.0
2026-01-14T00:00:00+00:00,1.3,74.4,3.2
2026-01-14T06:00:00+00:00,2.0,79.7,2.9
2026-01-14T12:00:00+00:00,2.3,76.6,2.5
2026-01-14T18:00:00+00:00,2.0,78.3,2.5
2026-01-15T00:00:00+00:00,1.9,83.2,2.6
2026-01-15T06:00:00+00:00,1.8,81.3,2.9
2026-01-15T12:00:00+00:00,2.7,79.4,3.4
2026-01-15T18:00:00+00:00,2.3,80.9,3.8
2026-01-16T00:00:00+00:00,1.8,80.5,3.5
2026-01-16T06:00:00+00:00,2.9,81.8,3.5
2026-01-16T12:00:00+00:00,3.8,79.4,3.2
2026-01-16T18:00:00+00:00,3.4,85.2,3.1
2026-01-17T00:00:00+00:00,3.2,84.1,3.6
2026-01-17T06:00:00+00:00,3.2,80.9,3.5
2026-01-17T12:00:00+00:00,4.2,76.0,3.7
2026-01-17T18:00:00+00:00,4.0,76.9,4.2
2026-01-18T00:00:00+00:00,4.6,75.2,4.3
2026-01-18T06:00:00+00:00,4.4,73.4,4.1
2026-01-18T12:00:00+00:00,5.3,71.8,4.3
2026-01-18T18:00:00+00:00,4.6,78.0,4.2
2026-01-19T00:00:00+00:00,4.2,82.5,3.8
2026-01-19T06:00:00+00:00,4.0,75.7,3.6
